Date,axe,mois,jour_sem,semaine,nb_arrets_total,duree_totale_h,duree_max_h,taux_disponibilite,ratio_arret_anomalie,roll_3j_nb_arrets,roll_7j_nb_arrets,roll_3j_duree,roll_7j_duree,roll_7j_nb_anomalie,pente_arrets_3j,duree_depuis_last_arret,duree_depuis_last_anomalie,cumul_arrets_7j,heure_sin,heure_cos,mois_sin,mois_cos,est_weekend,axe_encoded,nb_arrets_anomalie,duree_anomalie_h,nb_epuisement,nb_rupture,nb_defaut_elec,nb_defaut_mec,gravite_max,nb_arrets_critiques,label
2025-10-06,1,10,0,41,0.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857143,0.0,1.1666666666666667,1.0,0.0,5.0,5.0,5.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-07,1,10,1,41,0.0,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,0.0,0.6666666666666669,1.0,0.0,6.0,6.0,3.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-08,1,10,2,41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-09,1,10,3,41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-10,1,10,4,41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-11,1,10,5,41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-12,1,10,6,41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-13,1,10,0,42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-14,1,10,1,42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-15,1,10,2,42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-16,1,10,3,42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-17,1,10,4,42,1.0,1.0000000000000018,1.0000000000000018,0.9583333333333333,0.0,0.3333333333333333,0.14285714285714285,0.333333333333336,0.1428571428571431,0.0,0.5000000000000001,0.0,16.0,1.0,-0.10886687485196514,0.9940563382223195,-0.8660254037844386,0.5000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-18,1,10,5,42,5.0,3.5833333333333335,0.9999999999999991,0.8506944444444444,0.0,2.0,0.8571428571428571,1.5277777777777803,0.6547619047619051,0.0,2.5000000000000004,0.0,17.0,6.0,0.8808907382053854,-0.4733196671848437,-0.8660254037844386,0.5000000000000001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-19,1,10,6,42,0.0,0.0,0.0,1.0,0.0,2.0,0.8571428571428571,1.5277777777777803,0.6547619047619051,0.0,-0.5000000000000001,1.0,18.0,6.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-20,1,10,0,43,0.0,0.0,0.0,1.0,0.0,1.6666666666666667,0.8571428571428571,1.1944444444444466,0.6547619047619051,0.0,-2.500000000000001,2.0,19.0,6.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
