Date,axe,mois,jour_sem,semaine,nb_arrets_total,duree_totale_h,duree_max_h,taux_disponibilite,ratio_arret_anomalie,roll_3j_nb_arrets,roll_7j_nb_arrets,roll_3j_duree,roll_7j_duree,roll_7j_nb_anomalie,pente_arrets_3j,duree_depuis_last_arret,duree_depuis_last_anomalie,cumul_arrets_7j,heure_sin,heure_cos,mois_sin,mois_cos,est_weekend,axe_encoded,nb_arrets_anomalie,duree_anomalie_h,nb_epuisement,nb_rupture,nb_defaut_elec,nb_defaut_mec,gravite_max,nb_arrets_critiques,label
2025-05-08,4,5,3,19,14.0,16.416666666666657,9.833333333333332,0.31597222222222265,0.14285714285714285,12.333333333333334,11.142857142857142,17.972222222222218,16.238095238095237,16.0,-2.4999999999999982,0.0,0.0,78.0,-0.6038044103254775,-0.7971325072229224,0.49999999999999994,-0.8660254037844387,0,4,2.0,11.333333333333332,1.0,0.0,1.0,0.0,3.0,2.0,1
2025-05-10,4,5,5,19,3.0,19.916666666666664,16.666666666666664,0.17013888888888895,0.3333333333333333,8.333333333333334,9.714285714285714,13.72222222222222,15.547619047619046,14.0,-5.5,0.0,0.0,68.0,-0.014543897651582814,-0.9998942319271075,0.49999999999999994,-0.8660254037844387,1,4,1.0,1.5000000000000007,1.0,0.0,0.0,0.0,2.0,1.0,1
2025-05-12,4,5,0,20,8.0,16.83333333333333,8.416666666666664,0.29861111111111127,0.625,8.666666666666666,10.142857142857142,15.416666666666666,14.999999999999996,11.0,2.5000000000000004,0.0,0.0,71.0,0.8956632527363756,-0.44473288353538165,0.49999999999999994,-0.8660254037844387,0,4,5.0,16.08333333333333,4.0,0.0,1.0,0.0,3.0,4.0,1
2025-05-13,4,5,1,20,9.0,7.166666666666666,5.083333333333334,0.7013888888888888,0.1111111111111111,10.666666666666666,8.714285714285714,11.166666666666666,14.21428571428571,9.0,-2.9999999999999996,0.0,0.0,61.0,0.1064568967924685,-0.9943173181260184,0.49999999999999994,-0.8660254037844387,0,4,1.0,5.083333333333334,1.0,0.0,0.0,0.0,2.0,1.0,1
2025-05-14,4,5,2,20,14.0,23.666666666666664,8.416666666666666,0.01388888888888895,0.14285714285714285,10.333333333333334,10.142857142857142,15.888888888888891,14.047619047619042,11.0,3.0000000000000004,0.0,0.0,71.0,0.6881284677818891,-0.7255888724533678,0.49999999999999994,-0.8660254037844387,0,4,2.0,8.916666666666668,1.0,0.0,1.0,0.0,3.0,1.0,1
2025-05-16,4,5,4,20,5.0,4.333333333333332,2.5,0.8194444444444445,0.2,10.333333333333334,9.428571428571429,13.555555555555557,13.440476190476188,11.0,-4.500000000000002,0.0,0.0,66.0,-0.27563735581699944,-0.9612616959383188,0.49999999999999994,-0.8660254037844387,0,4,1.0,2.5,1.0,0.0,0.0,0.0,2.0,1.0,1
2025-05-17,4,5,5,20,7.0,2.4999999999999956,0.666666666666667,0.8958333333333335,0.14285714285714285,8.0,10.0,6.500000000000003,10.95238095238095,11.0,-2.500000000000001,0.0,0.0,70.0,-0.02181488503456053,-0.9997620270799091,0.49999999999999994,-0.8660254037844387,1,4,1.0,0.666666666666667,0.0,0.0,1.0,0.0,3.0,0.0,1
2025-05-18,4,5,6,20,10.0,4.7500000000000036,2.166666666666667,0.8020833333333331,0.2,7.333333333333333,9.285714285714286,3.8611111111111143,10.273809523809522,13.0,2.500000000000001,0.0,0.0,65.0,0.4047426296829459,-0.914430644563782,0.49999999999999994,-0.8660254037844387,1,4,2.0,2.5000000000000018,2.0,0.0,0.0,0.0,2.0,1.0,1
2025-05-19,4,5,0,21,9.0,24.166666666666668,14.333333333333332,0.0,0.2222222222222222,8.666666666666666,9.428571428571429,10.472222222222227,11.321428571428571,10.0,1.000000000000002,0.0,0.0,66.0,0.8149592551819881,-0.5795182588954547,0.49999999999999994,-0.8660254037844387,0,4,2.0,3.7500000000000004,1.0,0.0,1.0,0.0,3.0,1.0,1
2025-05-24,4,5,5,21,7.0,18.666666666666668,6.583333333333332,0.2222222222222222,0.42857142857142855,10.333333333333334,10.428571428571429,12.694444444444448,11.976190476190476,9.0,-2.9999999999999987,0.0,0.0,73.0,-0.30664474093333455,-0.9518240398613224,0.49999999999999994,-0.8660254037844387,1,4,3.0,7.166666666666665,1.0,0.0,0.0,2.0,4.0,1.0,1
2025-05-25,4,5,6,21,17.0,10.999999999999995,3.4999999999999982,0.541666666666667,0.058823529411764705,11.666666666666666,11.428571428571429,13.250000000000002,12.869047619047619,8.0,3.0000000000000018,0.0,0.0,80.0,-0.1761752702387904,-0.9843588137240856,0.49999999999999994,-0.8660254037844387,1,4,1.0,0.9999999999999991,0.0,0.0,1.0,0.0,3.0,0.0,1
2025-05-26,4,5,0,22,12.0,13.25,4.25,0.44791666666666663,0.16666666666666666,12.0,11.857142857142858,14.305555555555557,11.309523809523808,8.0,2.5000000000000018,0.0,0.0,83.0,0.33517752215694163,-0.9421549918355965,0.49999999999999994,-0.8660254037844387,0,4,2.0,1.7500000000000004,0.0,0.0,2.0,0.0,3.0,1.0,1
2025-05-27,4,5,1,22,9.0,10.583333333333332,6.83333333333333,0.5590277777777779,0.4444444444444444,12.666666666666666,11.285714285714286,11.611111111111112,11.261904761904761,11.0,-3.999999999999997,0.0,0.0,79.0,0.5187732581605218,-0.8549118706729464,0.49999999999999994,-0.8660254037844387,0,4,4.0,8.333333333333332,1.0,0.0,3.0,0.0,3.0,1.0,1
2025-05-29,4,5,3,22,5.0,8.500000000000004,4.666666666666668,0.6458333333333333,0.2,8.0,10.142857142857142,9.694444444444448,11.726190476190476,11.0,-1.999999999999999,0.0,0.0,71.0,-0.03053851320982197,-0.999533590836713,0.49999999999999994,-0.8660254037844387,0,4,1.0,4.666666666666668,1.0,0.0,0.0,0.0,2.0,1.0,1
2025-06-02,4,6,0,23,16.0,20.583333333333336,3.833333333333333,0.14236111111111105,0.125,10.0,9.0,13.222222222222229,10.333333333333334,8.0,3.5000000000000013,0.0,0.0,63.0,-0.10479967315176095,-0.9944933526712404,1.2246467991473532e-16,-1.0,0,4,2.0,4.333333333333333,0.0,1.0,1.0,0.0,4.0,1.0,1
2025-06-03,4,6,1,23,3.0,17.916666666666668,16.916666666666668,0.2534722222222222,0.6666666666666666,8.0,8.142857142857142,14.94444444444445,11.380952380952381,6.0,-0.9999999999999996,0.0,0.0,57.0,0.9904694403346357,0.13773266774151102,1.2246467991473532e-16,-1.0,0,4,2.0,17.666666666666668,1.0,0.0,1.0,0.0,3.0,1.0,1
2025-06-05,4,6,3,23,14.0,13.166666666666664,3.0000000000000013,0.45138888888888895,0.14285714285714285,10.333333333333334,10.0,13.250000000000002,11.857142857142858,8.0,5.500000000000002,0.0,0.0,70.0,0.06384805726151889,-0.9979596312396257,1.2246467991473532e-16,-1.0,0,4,2.0,2.4166666666666674,1.0,0.0,1.0,0.0,3.0,2.0,1
2025-06-07,4,6,5,23,7.0,7.166666666666673,3.0000000000000027,0.7013888888888886,0.14285714285714285,8.333333333333334,9.0,7.388888888888894,10.80952380952381,8.0,-3.499999999999997,0.0,0.0,63.0,-0.9990482215818578,-0.04361938736533613,1.2246467991473532e-16,-1.0,1,4,1.0,3.0000000000000027,1.0,0.0,0.0,0.0,2.0,1.0,1
2025-06-08,4,6,6,23,7.0,8.250000000000004,2.1666666666666696,0.6562499999999998,0.2857142857142857,6.0,9.285714285714286,5.750000000000007,11.083333333333334,10.0,1.500000000000001,0.0,0.0,65.0,0.37691719962100523,-0.9262469566103089,1.2246467991473532e-16,-1.0,1,4,2.0,3.7500000000000027,2.0,0.0,0.0,0.0,2.0,2.0,1
2025-06-09,4,6,0,24,8.0,6.9166666666666625,2.916666666666667,0.7118055555555558,0.125,7.333333333333333,8.142857142857142,7.44444444444445,9.130952380952381,9.0,0.5000000000000011,0.0,0.0,57.0,-0.4665796148706558,-0.884479204383659,1.2246467991473532e-16,-1.0,0,4,1.0,0.7499999999999987,0.0,0.0,1.0,0.0,3.0,0.0,1
2025-06-12,4,6,3,24,12.0,14.333333333333336,3.75,0.4027777777777777,0.16666666666666666,9.666666666666666,7.857142857142857,8.833333333333337,7.238095238095239,6.0,2.5000000000000018,0.0,0.0,55.0,0.2306158707424399,-0.9730448705798239,1.2246467991473532e-16,-1.0,0,4,2.0,3.25,1.0,1.0,0.0,0.0,4.0,1.0,1
2025-06-13,4,6,4,24,12.0,17.250000000000004,4.333333333333336,0.2812499999999999,0.25,11.333333333333334,9.0,12.416666666666671,9.440476190476192,9.0,1.0,0.0,0.0,63.0,0.0018180503026239473,-0.9999983473451829,1.2246467991473532e-16,-1.0,0,4,3.0,9.75,2.0,0.0,1.0,0.0,3.0,3.0,1
2025-06-14,4,6,5,24,10.0,16.750000000000004,4.750000000000002,0.30208333333333315,0.2,11.333333333333334,9.428571428571429,16.111111111111118,10.80952380952381,10.0,-1.0000000000000002,0.0,0.0,66.0,0.08498217737244138,-0.9963824715083254,1.2246467991473532e-16,-1.0,1,4,2.0,7.583333333333335,2.0,0.0,0.0,0.0,2.0,2.0,1
2025-06-15,4,6,6,24,5.0,18.583333333333332,11.0,0.22569444444444453,0.4,9.0,9.142857142857142,17.527777777777782,12.285714285714286,10.0,-3.499999999999999,0.0,0.0,64.0,0.0871557427476582,-0.9961946980917455,1.2246467991473532e-16,-1.0,1,4,2.0,17.083333333333332,2.0,0.0,0.0,0.0,2.0,2.0,1
2025-06-16,4,6,0,25,5.0,7.916666666666666,4.0,0.6701388888888888,0.2,6.666666666666667,8.714285714285714,14.41666666666667,12.428571428571429,10.0,-2.4999999999999996,0.0,0.0,61.0,-0.9187912101488984,-0.39474385638426707,1.2246467991473532e-16,-1.0,0,4,1.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,1
2025-06-17,4,6,1,25,14.0,12.916666666666664,2.1666666666666656,0.4618055555555557,0.14285714285714285,8.0,9.714285714285714,13.138888888888891,13.345238095238097,12.0,4.500000000000002,0.0,0.0,68.0,-0.05918192617455237,-0.9982472136771882,1.2246467991473532e-16,-1.0,0,4,2.0,0.75,1.0,0.0,0.0,1.0,4.0,0.0,1
2025-06-19,4,6,3,25,14.0,13.166666666666668,2.666666666666668,0.45138888888888884,0.14285714285714285,13.333333333333334,10.285714285714286,13.638888888888893,14.488095238095239,13.0,2.5164218774890727e-15,0.0,0.0,72.0,-0.3140516360737524,-0.9494059036468013,1.2246467991473532e-16,-1.0,0,4,2.0,1.5833333333333304,0.0,0.0,2.0,0.0,3.0,1.0,1
2025-06-20,4,6,4,25,13.0,9.416666666666664,2.75,0.6076388888888891,0.15384615384615385,13.0,10.428571428571429,12.472222222222227,13.369047619047619,12.0,0.5000000000000021,0.0,0.0,73.0,0.824885880565279,-0.5652992871426995,1.2246467991473532e-16,-1.0,0,4,2.0,0.5833333333333339,1.0,0.0,1.0,0.0,3.0,0.0,1
2025-06-21,4,6,5,25,11.0,12.166666666666666,4.416666666666664,0.4930555555555556,0.2727272727272727,12.666666666666666,10.571428571428571,11.583333333333336,12.714285714285714,13.0,-1.4999999999999987,0.0,0.0,74.0,0.8017282302365923,-0.5976887524805043,1.2246467991473532e-16,-1.0,1,4,3.0,5.1666666666666625,2.0,0.0,1.0,0.0,3.0,1.0,1
2025-06-22,4,6,6,25,16.0,13.41666666666667,3.833333333333333,0.4409722222222221,0.125,13.333333333333334,12.142857142857142,11.666666666666671,11.976190476190476,13.0,1.5000000000000024,0.0,0.0,85.0,-0.6291084339670346,-0.7773175530705229,1.2246467991473532e-16,-1.0,1,4,2.0,2.25,0.0,0.0,2.0,0.0,3.0,1.0,1
2025-06-23,4,6,0,26,17.0,9.916666666666666,1.5,0.5868055555555556,0.35294117647058826,14.666666666666666,13.857142857142858,11.833333333333337,12.261904761904761,18.0,3.0000000000000013,0.0,0.0,97.0,0.20012241549840643,-0.9797709011881722,1.2246467991473532e-16,-1.0,0,4,6.0,3.8333333333333313,1.0,0.0,4.0,1.0,4.0,1.0,1
2025-06-24,4,6,1,26,15.0,19.91666666666667,13.083333333333336,0.17013888888888873,0.2,16.0,14.0,14.416666666666671,13.261904761904761,19.0,-0.4999999999999996,0.0,0.0,98.0,0.06685438651502741,-0.9977627428420542,1.2246467991473532e-16,-1.0,0,4,3.0,13.41666666666667,1.0,0.0,1.0,1.0,4.0,1.0,1
2025-06-26,4,6,3,26,15.0,5.8333333333333455,1.666666666666666,0.756944444444444,0.06666666666666667,13.0,13.714285714285714,11.138888888888898,11.190476190476192,17.0,2.255251067705641e-15,0.0,0.0,96.0,-0.28680323271108993,-0.957989512315489,1.2246467991473532e-16,-1.0,0,4,1.0,1.666666666666666,0.0,0.0,1.0,0.0,3.0,1.0,1
2025-07-01,4,7,1,27,6.0,17.916666666666668,15.583333333333334,0.2534722222222222,0.16666666666666666,6.0,8.428571428571429,9.27777777777778,7.66666666666667,2.0,-1.4999999999999996,0.0,0.0,59.0,0.8836294774348274,0.4681868714608023,-0.4999999999999997,-0.8660254037844388,0,4,1.0,15.583333333333334,1.0,0.0,0.0,0.0,2.0,1.0,1
2025-07-02,4,7,2,27,10.0,8.916666666666668,1.6666666666666687,0.6284722222222221,0.1,6.333333333333333,8.571428571428571,9.611111111111114,7.845238095238097,3.0,3.500000000000001,0.0,0.0,60.0,0.6259234721840589,-0.7798844830928819,-0.4999999999999997,-0.8660254037844388,0,4,1.0,0.666666666666667,0.0,0.0,1.0,0.0,3.0,0.0,1
2025-07-05,4,7,5,27,12.0,10.083333333333332,3.833333333333333,0.5798611111111112,0.08333333333333333,8.333333333333334,7.571428571428571,6.944444444444446,8.226190476190476,3.0,5.000000000000001,0.0,0.0,53.0,0.014543897651582614,-0.9998942319271075,-0.4999999999999997,-0.8660254037844388,1,4,1.0,0.833333333333333,1.0,0.0,0.0,0.0,2.0,0.0,1
2025-07-06,4,7,6,27,15.0,12.0,5.666666666666668,0.5,0.13333333333333333,12.666666666666666,8.428571428571429,10.194444444444446,8.80952380952381,5.0,2.0000000000000013,0.0,0.0,59.0,0.4027466898587373,-0.9153114791194471,-0.4999999999999997,-0.8660254037844388,1,4,2.0,2.3333333333333317,1.0,0.0,1.0,0.0,3.0,1.0,1
2025-07-10,4,7,3,28,19.0,13.91666666666666,2.666666666666665,0.4201388888888892,0.10526315789473684,6.333333333333333,9.142857142857142,4.638888888888889,7.083333333333333,6.0,9.500000000000002,0.0,0.0,64.0,-0.49501974921962616,-0.8688817226081685,-0.4999999999999997,-0.8660254037844388,0,4,2.0,1.7499999999999991,1.0,0.0,1.0,0.0,3.0,1.0,1
