nb_arrets_total,duree_totale_h,duree_max_h,taux_disponibilite,ratio_arret_anomalie,roll_3j_nb_arrets,roll_7j_nb_arrets,roll_3j_duree,roll_7j_duree,roll_7j_nb_anomalie,pente_arrets_3j,duree_depuis_last_arret,duree_depuis_last_anomalie,cumul_arrets_7j,heure_sin,heure_cos,mois_sin,mois_cos,est_weekend,axe_encoded,label
-0.005077748838965324,0.036146211037778146,0.024519139967115276,0.04630129031495029,0.22516860224606652,-0.0027596672063002997,-0.007185896951650503,0.004461474069945321,-0.004119425366982606,-0.05453330388323062,0.004592458233890011,0.006217486832369909,0.1679544485767001,6.445446300101183e-05,-0.0036212073639846323,0.010901662382653896,-0.024986991474759943,0.0009610262425364707,-0.0044689280847119124,0.0041543908987258255,1
-0.017120493426867882,-0.04765718179638701,-0.05209255903205156,-0.05779220247307227,-0.14508911286089285,-0.0065308935906940565,-0.0026282771782734763,-0.0015199758337474947,0.0007974508015728403,-0.026757602583335333,-0.0008901142280029384,-0.012307393557672987,-0.10764640945478499,0.0004490699581947146,0.0005614670304139579,-0.013244591461523058,-0.01009669784308157,-0.0006595015027230944,-0.0016689943559218333,0.001701225040013029,0
-0.007473914543331634,-0.025710579431722936,0.0004214580765375733,-0.03175860725988354,-0.2131082903569847,-0.008843228814421225,1.0000970850489088e-05,-0.00196098818621039,0.0003109086001161219,-0.032642686152818776,-0.0004569747522820583,0.0025035692152590595,-0.14172119255923377,0.009417630256858536,0.002920019161632607,-5.257348874113369e-05,-0.014177468521492827,0.0005151768095623878,0.0005264461387156983,0.0010885064887529237,0
-0.015884390058297577,-0.04484043817333601,-0.04881153907071866,-0.05403791215744727,-0.14319335249613505,-0.0063791894786834405,-0.0019592735861673335,-0.021627009020393915,-0.00010136713656648488,-0.02563991353536864,-0.0006939616909800559,-0.012332015195684823,-0.10475663824644417,0.00026253340873307496,0.0006045330150928123,-0.013073426736926895,-0.008470153181237306,-0.0006797501957360587,0.00022604586730925273,0.0011944293201504774,0
-0.015900102430996915,-0.044582594421546225,-0.04906980831012881,-0.053952846684297125,-0.14296547753282104,-0.006426333467473104,-0.0020380016504107884,-0.02172071378236579,-9.673159424435539e-05,-0.025687669853721413,-0.0011231027866665112,-0.012329547512943443,-0.10440323852292893,0.00035936770679021737,0.0005967493938234605,-0.013092042218487313,-0.008430137812115168,-0.0006238493498657204,0.0002272571137941193,0.00106603536776678,0
-0.015874425231810017,-0.04468549579882851,-0.04883733308890137,-0.05404768725826304,-0.14300246374122016,-0.00637433357546684,-0.0020486719033070712,-0.021645049467319117,-6.589699683877802e-05,-0.025762684663901983,-0.0006869152858103411,-0.012332015195684823,-0.10491546336439948,0.00026135763230414756,0.0006062300513391138,-0.013064631464699664,-0.008462843911173188,-0.0006797501957360587,0.00022440851142125118,0.00120087659945782,0
-0.015874425231810017,-0.04468549579882851,-0.04883733308890137,-0.05404768725826304,-0.14300246374122016,-0.00637433357546684,-0.0020486719033070712,-0.021645049467319117,-6.589699683877802e-05,-0.025762684663901983,-0.0006869152858103411,-0.012332015195684823,-0.10491546336439948,0.00026135763230414756,0.0006062300513391138,-0.013064631464699664,-0.008462843911173188,-0.0006797501957360587,0.00022440851142125118,0.00120087659945782,0
-0.01564406291214688,-0.043105222410688634,-0.048820872549705095,-0.05301434306177139,-0.137919524368528,-0.006687082885437722,-0.0024428763162897588,-0.02151764880446565,-0.008854904016482402,-0.027426680782782292,-0.0005942879598898709,-0.012283697868058134,-0.10100684346416614,7.429332568934523e-05,0.0006215801301670119,-0.012067476988985453,-0.008387216887202868,-0.0006732080612998897,-0.001638947335597028,0.0011962348688026848,0
-0.01564406291214688,-0.043105222410688634,-0.048820872549705095,-0.05301434306177139,-0.137919524368528,-0.006687082885437722,-0.0024428763162897588,-0.02151764880446565,-0.008854904016482402,-0.027426680782782292,-0.0005942879598898709,-0.012283697868058134,-0.10100684346416614,7.429332568934523e-05,0.0006215801301670119,-0.012067476988985453,-0.008387216887202868,-0.0006732080612998897,-0.001638947335597028,0.0011962348688026848,0
-0.015476611721391849,-0.043545879697819895,-0.048793448312603585,-0.053242048189347704,-0.1393959498103285,-0.006490474509613069,-0.0025103680890797204,-0.021397930565045478,-0.008955846075431869,-0.02728585095548481,-0.0005080223268299988,-0.01232446270862891,-0.1017383514236715,0.0001016212211619622,0.0006714648810323348,-0.012024667480113002,-0.007945793302875174,-0.0007120389749100449,0.00022642428880949303,0.0011554454033332261,0
